Aant_PlateArmor_Helm	Awrain Plate Helm
Kattinan_Leather_Gloves	Kattinan Leather Gloves
Katunan_ChainMail_Armor_I	Katunan Chain Mail
Katz_Leather_Boots	Katz Leather Boots
Kauria_ChainMail_Armor	Kauria Chain Mail
Kayson_PlateArmor_Helm	Demenissian Guard's Plate Helm
Kayson_PlateArmor_Helm_I	Inquisitor's Plate Helm
Kayson_PlateArmor_Helm_II	Caysonne Plate Helm
Kebail_PlateArmor_Gloves	Kevile Plate Gloves
Kedenly_Leather_Armor	Kednry Leather Armor
Kenav_Fabric_Armor	Kennav Cloth Armor
Kenav_Fabric_Helm	Kennav Cloth Headband
Kenmore_PlateArmor_Armor	Kenmore Plate Armor
Kenmore_PlateArmor_Armor_I	Kenmore Plate Armor
Keoller_Fabric_Armor	Keller Cloth Armor
Kephilray_TwoHandSpear	Sydmon Spear
Kerburn_Leather_Armor	Kerburn Leather Armor
Kerdmann_Fabric_Boots	Kerdmann Cloth Boots
Keredig_Leather_Boots	Keredig Leather Boots
Keredig_PlateArmor_Gloves	Canta Plate Gloves
Keredig_PlateArmor_Helm	Bolton Plate Helm
Ketlan_ChainMail_Armor	Ketlan Chain Mail
Khadiac_TwoHandAxe	Troll Hook Greataxe
Khadiac_TwoHandSpear	Kylus Spear
Khadion_TwoHandAlebard	Gilliam Halberd
Khadion_TwoHandSword	Iris Longsword
Khadion_TwoHandedWarHammer	Arlen Warhammer
Khalbydan_Fabric_Armor	Khalbdan Cloth Armor
Khalbydan_Leather_Gloves	Khalbdan Leather Gloves
Khanoa_OneHandBow	Sydmon Bow
Kiahtuth_PlateArmor_Helm	Kiatus Plate Helm
Kiehrius_TwoHandAlebard	Bonepit Halberd
Kiehrius_TwoHandSword	Thalwynd Longsword
Kililli_ChainMail_Armor	Killi Chain Mail
Killeen_PlateArmor_Armor	Killian Plate Armor
Killeen_PlateArmor_Armor_I	Killian Plate Armor
Kimbap	Battered Harvest Roll
Kimbap_Large	Satisfying Battered Harvest Roll
Kimbap_Medium	Filling Battered Harvest Roll
Kimbap_XLarge	Hearty Battered Harvest Roll
Kinloch_PlateArmor_Armor	Kinloch Plate Armor
Kinloch_PlateArmor_Armor_I	Kinloch Plate Armor
Kinov_Fabric_Armor	Keanoff Cloth Armor
Kinross_PlateArmor_Armor	Kinross Plate Armor
Kinross_PlateArmor_Armor_I	Kinross Plate Armor
Kintun_ChainMail_Armor	Mortain Chain Mail
Kite_Metal_OneHandShield	Shield of a Blossoming Spring Day
Kitee_OneHandShield	Kite Shield
Kliff_Earring	Greymane's Earring
Kliff_Glasses	Master Du's Circlet
Kliff_Mask	Mask
Kliff_OneHandShotgun	Pailunese Shotgun
Kliff_PlateArmor_Armor	Kairos Plate Armor
Kliff_PlateArmor_Cloak	Kairos Cloak
Kliff_PlateArmor_Gloves	Kairos Plate Gloves
Kliff_PlateArmor_Helm	Kairos Plate Helm
Kliff_Plate_Boots	Kairos Plate Boots
Knight_King_OneHandSword	Knightlord's Sword
Knowledge_PlateArmor_Helm	Helm of Knowledge
Konkhar_Fabric_Armor	Concarr Cloth Armor
Kordaav_Leather_Armor	Kordaav Leather Armor
Kordaav_Leather_Gloves	Kordaav Leather Gloves
Kordaav_OneHandMace	Kordaav Mace
Korean_PlateArmor_Armor	Corinne Plate Armor
Kramer_TwoHandHammer	Helms Greathammer
Kriella_Fabric_Armor	Kriella Cloth Armor
Kriella_Fabric_Gloves	Kriella Cloth Gloves
Kritha_HorseArmor_Armor	Calphadean Barding
Kritha_HorseArmor_Helm	Exclaire Champron
Kritha_HorseArmor_Saddle	Exclaire Saddle
Kritha_HorseArmor_Stirrup	Calphadean Stirrups
Ktan_Fabric_Armor	Kithan Cloth Armor
Ktian_Fabric_Armor	Ketian Cloth Armor
KuKu_Bismuth_TwoHandSpear	Kuku Bismuth Spear
KuKu_EMP_TwoHandSpear	Kuku Disruptor Spear
KuKu_Fire_staff_spear_TwoHandSpear	Kuku Flame Spear
KuKu_Golden999K	Kuku Transmission 999K Pack
KuKu_Lightning_TwoHandSpear	Kuku Lightning Spear
KuKu_Pot_TwoHandSpear	Kuku Spear
KuKu_Wind_TwoHandSpear	Kuku Propeller Spear
Kudzu_seed	Skyroot Seed
Kukan_PlateArmor_Armor	Coogan Plate Armor
Kukan_PlateArmor_Armor_I	Blacksteel Coogan Plate Armor
Kuku_Drone_Backpack	Kuku Watcher Pack
Kuku_EMP_Enhance_BackPack	Kuku Enhanced Disruptor
Kuku_FlameThrower	Kuku Flamespitter
Kuku_IceThrower	Kuku Frostspitter
Kuku_LightningThrower	Kuku Boltspitter
Kuku_Pot_BackPack	Kuku Pack
Kuku_YamatoCannon_TwoHandSpear	Kuku Laser Cannon Spear
Kunan_PlateArmor_Armor	Kunan Plate Armor
Kunan_PlateArmor_Armor_I	Kunan Plate Armor
Kurinan_PlateArmor_Armor	Gurrinan Plate Armor
Kurinan_PlateArmor_Armor_I	Condemner's Plate Armor
Kurinan_PlateArmor_Cloak_I	Condemner's Plate Cloak
Kurua_Leather_Boots	Kurua Leather Boots
Kurua_PlateArmor_Helm	Kurua Plate Helm
Kydalern_TwoHandSpear	Spear of Righteousness
Kylidden_Leather_Gloves	Kaeridyn Leather Gloves
Kylidden_TwoHandSpear	Alabaster Spear
Labonion_ChainMail_Armor	Lavgnion Chain Mail
Lacata_PlateArmor_Armor	Lacata Plate Armor
Lachian_PlateArmor_Armor	Lachian Plate Armor
Lacklean_Fabric_Gloves	Grey Wolf Cloth Gloves
Lacquer_Leather_Gloves	Larkri Leather Gloves
Lacquer_PlateArmor_Armor	Larkri Plate Armor
Lacrunias_Leather_Helm	Lacrunias Leather Helm
Lacsha_PlateArmor_Helm	Sahazhad Plate Helm
Lacusane_PlateArmor_Armor	Lacusane Plate Armor
Ladete_Leather_Gloves	Layddete Leather Gloves
Ladete_Plate_Boots	Icewing Plate Boots
Ladis_Fabric_Helm	Raditz Cloth Cap
Ladran_Fabric_Armor	Ladran Cloth Armor
Laehbern_PlateArmor_Helm	Laehbern Plate Helm
Lafty_Leather_Gloves	Leffri's Leather Gloves
Lafty_Leather_Gloves_I	Leffri's Leather Gloves
Lain_Leather_Boots	Layne Leather Boots
Laitaa_Leather_Boots	Layta Leather Boots
Laitaa_Plate_Boots	Layta Plate Boots
LakeGolem_OnehandShield	Runewalker Shield
Laksh_Leather_Armor	Lakshi Leather Armor
Laksh_Leather_Boots	Lakshi Leather Shoes
Lance_OneHandLance	Lance OneHandLance
Langphash_Fabric_Armor	Ranphas Cloth Armor
Langtois_Fabric_Armor	Rangtua Cloth Armor
Langust_Leather_Boots	Ashen Wolf's Leather Boots
Lankaz_Fabric_Armor	Lancats Cloth Armor
Lanok_PlateArmor_Armor	Lanauk Plate Armor
Lanok_PlateArmor_Armor_I	Lanauk Plate Armor
Lanpheldt_OneHandAxe	Lambert Axe
Lantern	Lantern
Laonkel_Leather_Boots	Lankel Leather Boots
Laplian_Fabric_Helm	Laplian Cloth Cap
Laplus_Leather_Armor	Laplace Leather Armor
Laplus_Leather_Gloves	Laplace Leather Gloves
Laputi_Leather_Boots	Lapprette Leather Boots
Lardein_Fabric_Helm	Radein Cloth Cap
Large_Bone	Large Bone
Lariano_Fabric_Armor	Lariano Cloth Armor
Lark_PlateArmor_Armor	Larc Plate Armor
Larkarz_Fabric_Armor	Lacas Cloth Armor
Larkritt_Fabric_Helm	Larkett Cloth Cap
Larksia_PlateArmor_Helm	Renkshaw Plate Helm
Larksia_PlateArmor_Helm_I	Blacksteel Renkshaw Plate Helm
Larksis_PlateArmor_Helm	Langris Plate Helm
Larsahn_Fabric_Helm	Larsan Cloth Headband
Larsiras_Fabric_Helm	Lashiras Cowl
Larstti_PlateArmor_Helm	Larstrom Plate Helm
Lascaux_Leather_Boots	Lascaux Leather Boots
LasentaKum_Leather_Gloves	Renshaku Leather Gloves
Lashir_Fabric_Helm	Lashir Cloth Cap
Lasian_Leather_Boots	Lasian Leather Boots
Laspine_Leather_Armor	Raspin Leather Armor
Latenta_PlateArmor_Helm	Laterna Plate Helm
Lathia_Fabric_Armor	Lathia Cloth Armor
Latian_Leather_Gloves	Latian Leather Gloves
Latir_Leather_Boots	Latear Leather Boots
Latrion_ChainMail_Armor	Latrion Chain Mail
Lattua_Plate_Boots	Lattua Plate Boots
Lattua_Plate_Boots_I	Blacksteel Lattua Plate Boots
Laucatti_Fabric_Armor	Larcotti Cloth Armor
Lauqus_PlateArmor_Helm	Lauques Plate Helm
Lautar_Fabric_Armor	Lauta Cloth Armor
Lautia_PlateArmor_Helm	Lautia Plate Helm
Lave_Leather_Gloves	Lave Leather Gloves
Lavender	Lavender
Lavender_blue	Blue Lavender
Lavender_white	White Lavender
Lavender_yellow	Yellow Lavender
Laviren_Fabric_Armor	Ravirun Cloth Armor
Laviren_Fabric_Armor_1	Bandit Cloth Armor
Laviren_Fabric_Cloak_I	Bandit Cloth Cloak
Laviren_Fabric_Helm	Ravirun Cloth Helm
Laviren_Leather_Armor	Ravirun Leather Armor
Lavrak_Fabric_Helm	Labrak Cloth Cap
Lawncheta_Leather_Gloves	Lawson Leather Gloves
Leadahn_Leather_Helm	Ledan Leather Helm
Leather	Thin Hide
Leather_Merchant_BackPack_I	Tanner's Pack
Leather_Merchant_BackPack_II	Tanner's Pack
Leather_Merchant_BackPack_III	Tanner's Pack
Lebideuo_Leather_Boots	Levinto Leather Boots
Lecruon_Leather_Gloves	Reclonne Leather Gloves
Ledcy_Leather_Helm	Arkhan Leather Helm
Leeksha_ChainMail_Armor	Riksha Chain Mail
Leeksi_Fabric_Helm	Ricksley Cloth Cap
Leeksia_OneHandSword	Dekarr Sword
Legend_Black_Lion_Report	Sighting of the Black Lion
Legend_Coelacanth_Report	Sighting of the Coelacanth
Legend_Giant_Bull_Report	Giant White Bison Sighting
Legend_GoldenCarp_Report	Sighting of the Golden Carp
Legend_GoldenTench_Report	Golden Tench Sighting
Legend_Golden_Coelacanth_Report	Sighting of the Golden Coelacanth
Legend_LeeburtheShadowWolf_Report	Sighting of the Black Fang
Legend_Phoenix_Wild_Report	Sighting of the Phoenix
Legend_PureWhite_Bion_Report	Sighting of the White Bison
Legend_PureWhite_Deer_Report	Sighting of the Snowwhite Deer
Legend_Redriver_hog_Report	Sighting of the Red River Hog
Legend_SilverFangs_Report	Sighting of the Silver Fang
Legend_Vined_Deer_Report	Sighting of the Vine Deer
Legend_White_Bear_Wild_Report	Sighting of the White Bear
Legend_White_Crocodile_Report	Sighting of the White-Scaled Crocodile
Legend_White_Lion_Report	Sighting of the White Lion
Legend_White_Moose_Report	Sighting of the White Moose
Legend_White_Stag_Report	Sighting of the White Elk
Legendary_Abyss_OneHandCannon	Sior Blaster
Legendary_AncientGuardian_TwoHandAxe	Earthsplitter
Legendary_Animal_Giant_Bull	White King's Candlestick
Legendary_Animal_Phoenix	Nightmare Burner
Legendary_Animal_PureWhite_Bion	Lamp of Crossed Dreams
Legendary_Animal_PureWhite_Deer	Throne of the White Night
Legendary_Animal_Redriver_hog	Chalice of Devouring
Legendary_Animal_Vined_Deer	Aged Branch
Legendary_Animal_White_Moose	Beckoning Forest
Legendary_Animal_White_Stag	The Beholder
Legendary_Antumbra_TwoHandGiantBastard	Darkbringer
Legendary_Antumbra_TwoHandedWarHammer	Antumbra's Eye
Legendary_BridieGu_TwoHandGiantAxe	Wheel of the Last Toll
Legendary_Caliburn_OneHandRapier	Royal Oath
Legendary_CaptainGoblin_OneHandAxe	Double-Headed Axe of Greed
Legendary_CrimsonScorpion_TwoHandHammer	Rune-Engraved Rock
Legendary_Deer_Leather_Gloves	Counterweight Leather Gloves
Legendary_Deer_Leather_Gloves_T4_QA	Legendary Deer Leather Gloves T4 QA
Legendary_DemenisMusket_OneHandMusket	Demenissian Hero's Musket
Legendary_DragonSlayer_OneHandSword	Nazk Sword
Legendary_Dragon_OneHandSword	Aeserion Sword
Legendary_Dragon_TwoHandGiantSpear	Aeserion Spear
Legendary_GoldStar_OneHandCannon	Golden Fire
Legendary_HexeMarie_Earring	Earring of Dark Magic
Legendary_Kings_OneHandDagger	King's Dagger
Legendary_Korea_OneHandBow	Noble Man's Bow
Legendary_MarniDragon_OneHandCannon	Mechanical Clockwork Blaster
Legendary_MarniGolem_Plate_Armor	Frozen Heart Plate Armor
Legendary_MarniGolem_Plate_Boots	Frozen Heart Plate Boots
Legendary_MarniGolem_Plate_Cloak	Frozen Heart Plate Cloak
Legendary_MarniRegion_OneHandMace	Marni Devotee's Mace
Legendary_MarniTank_OneHandCannon	Marni Tank Blaster
Legendary_MarniTank_OneHandShield	Delesyian Ornamental Shield
Legendary_Marni_OneHandCannon	Blaster No. 8
Legendary_Moonhead_01_TwoHandGiantSpear	Diverging Moon
Legendary_Moonhead_02_TwoHandGiantSpear	Circling Moon
Legendary_Moonhead_TwoHandGiantSpear	Grasping Moon
Legendary_Ogre_Ring	Ogre's Ring
Legendary_Orc_Plate_Glove	Frozen Heart Plate Gloves
Legendary_OwenCraber_TwoHandGiantSpear	Frostfang
Legendary_Shakatu_OneHandDagger	Goblin King's Treasure Dagger
Legendary_SkullKnight_OneHandShield	Balgran Shield
Legendary_Solid_Bringer_TwoHandedWarHamme	Sanguine Knell
Legendary_Soulknight_OneHandTowerShield	Shield of Sacrifice
Legendary_StephenBleed_OneHandMace	Mace of Resolve
Legendary_Tarandus_TwoHandedWarHamme	Ashen Execution
Legendary_Titan_Ring	Ring of Lightning
Legendary_WhiteHorn_OneHandSword	Chillfallen Sword
Legendary_WhiteWolf_Leather_Helm	Silver Fang Helm
Leinstead_OneHandSword	Glenmore Sword
Lekia_Leather_Boots	Regglia Leather Boots
Lekia_PlateArmor_Helm	Rekhia Plate Helm
Lekia_Plate_Boots	Unyielding Warrior's Plate Boots
Lentils	Lentils
Leone_OneHandRapier	Leonne Rapier
Leontain_Leather_Boots	Leontyne Leather Boots
Leontain_PlateArmor_Helm	Leontyne Plate Helm
Leopard_Pattern_Leather_Armor	Leopard Print Leather Armor
Lepra_Leather_Boots	Lepra Leather Boots
Lercent_Leather_Gloves	Lercent Leather Gloves
Letter_Azureian_Secret	Countess Azerian's Secret Letter
Letter_Elimores_Secret	Countess Azerian's Letter
Letter_Go_To_ScolaStone	Alustin's Letter
Letter_TraderLetter	Undelivered Trader's Letter
Letter_Valgash	Valgash's Letter
Letter_Visione_MotherLetter	Letter from a Mother
Letter_Wolfmolar_Mountain_WifeLetter	A Wife's Letter
Levibb_Fabric_Armor	Ruvib Cloth Armor
Liberry_OneHandRapier	Liberre Rapier
License_Operation_HernandBank	Personal Strongbox Permit
Lickla_PlateArmor_Armor	Ricla Plate Armor
Liculu_Leather_Gloves	Ricrau Leather Gloves
Licuna_Leather_Boots	Leguna Leather Boots
LightSaber_TwoHandSword	LightSaber TwoHandSword
Light_Arrowhead_Fabric_Armor_I	Blinding Arrows Scout's Cloth Armor
Light_Arrowhead_Fabric_Armor_II	Blinding Arrows Scout's Cloth Armor
Light_Arrowhead_Fabric_Armor_III	Blinding Arrows Scout's Cloth Armor
Light_Arrowhead_Fabric_Armor_IV	Blinding Arrows Rider's Cloth Armor
Light_Arrowhead_Fabric_Armor_V	Blinding Arrows Scout's Cloth Armor
Light_Arrowhead_Fabric_Armor_VI	Blinding Arrows Scout's Cloth Armor
Light_Arrowhead_Fabric_Armor_VII	Blinding Arrows Scout's Cloth Armor
Light_Arrowhead_Fabric_Cloak_I	Blinding Arrow Cloth Cloak
Light_Arrowhead_Fabric_Helm_V	Blinding Arrows' Cloth Cap
Light_Arrowhead_Leader_OneHandBow	Tormented Soul Bow
Light_Arrowhead_Leather_Armor_I	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_II	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_III	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_IV	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_IX	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_V	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_VI	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Armor_VII	Blinding Arrows Scout's Leather Armor
Light_Arrowhead_Leather_Armor_VIII	Blinding Arrows Scout's Leather Armor
Light_Arrowhead_Leather_Armor_X	Blinding Arrow's Leather Armor
Light_Arrowhead_Leather_Boots_I	Blinding Arrow's Leather Boots
Light_Arrowhead_Leather_Boots_II	Blinding Arrow's Leather Boots
Light_Arrowhead_Leather_Gloves	Blinding Arrow's Leather Gloves
Light_Of_Giant_Lantern	Shiny Blue Sea Lantern
Light_Thorn_OneHandTowerShield	Rekel Large Spiked Shield
LightningThrower	Electromagnetic Boltspitter
Lightning_Arrow	Blitz Arrow
Lightning_TwoHandSpear	Lightning Spear
Ligtning_TwoHandHammer_I	Lightning Greathammer
Likarz_Fabric_Armor	Rikkas Cloth Armor
Likenin_Leather_Gloves	Lennigen Leather Gloves
Likua_PlateArmor_Helm	Longia Plate Helm
Likua_PlateArmor_Helm_I	Blacksteel Longia Plate Helm
Limerhen_TwoHandSpear	Traitor's Spear
Limerick_ChainMail_Armor	Lemerick Chain Mail
Liornia_Fabric_Armor	Liorna Cloth Armor
Lipsort_OneHandTowerShield	Lifsoth Large Shield
Litra_Leather_Gloves	Leahdra Leather Gloves
Livneh_Fabric_Armor	Livner Cloth Armor
LoaderDam_Leather_Gloves	Loudan Leather Gloves
Loccamashima_Leather_Armor	Locasima Leather Armor
Lodi_ChainMail_Armor	Lodi Chain Mail
Logger_BackPack_I	Woodcutter's Pack
Logger_BackPack_II	Woodcutter's Pack
Logger_BackPack_III	Woodcutter's Pack
Logger_BackPack_IV	Woodcutter's Pack
Londel_Leather_Boots	Scorchflame Leather Boots
Londel_Leather_Gloves	Rondel Leather Gloves
Londel_Leather_Helm	Rondel Leather Helm
Londel_PlateArmor_Gloves	Scorchflame Plate Gloves
Londel_PlateArmor_Helm	Scorchflame Plate Helm
LongBeak_OneHandSword	Varnian Sword
Lopelun_OneHandMusket	Bekker Musket
LostLetter_Bartholomew	Priest Ordination Recommendation Letter
LostLetter_Berdo	Letter to a Comrade
LostLetter_Burk	Letter from Mom
LostLetter_Castiel	Letter with Smudged Words
LostLetter_Eirik	Sawdust-Stained Letter
LostLetter_Food_Trader_1	Periodic Report
LostLetter_Goorba	Unsealed Secret Letter
LostLetter_Khadija	News for a Nephew
LostLetter_Marin	Suspicious Letter
LostLetter_Mineral_Trader_1	Letter to Croft
LostLetter_Montpellier	Demeniss Orphanage Registration Form
LostLetter_Provost_1	Scented Letter
LostLetter_Provost_4	Scented Letter
LostLetter_Roger	Letter with a Scorched Corner
LostLetter_Skint	Crumpled Letter
LostLetter_Slywick	Unknown Duke's Order
LostLetter_Sniks	Letter with a Torn Corner
Lotas_PlateArmor_Helm	Lotas Plate Helm
Lotas_PlateArmor_Helm_I	Blacksteel Lotas Plate Helm
Lotunsau_Leather_Armor	Rotunso Leather Armor
Louis_Fabric_Armor	Louis Cloth Armor
Lower_ChainMail_Armor	Lauer Chain Mail
Lowuti_Leather_Boots	Loutte Leather Boots
Lucan_OneHandTowerShield	Lucon Large Shield
Lucion_ChainMail_Armor	Lucion Chain Mail
Lucion_Fabric_Armor	Lucion Cloth Armor
Lucky_Letter	Letter of Fortune
Luconek_Fabric_Helm	Rueconec Cloth Cap
Luconek_Leather_Boots	Rueconec Leather Boots
Luconek_Leather_Gloves	Rueconec Leather Gloves
Luconek_Leather_Helm	Rueconec Leather Helm
Luconek_PlateArmor_Helm	Rueconec Plate Helm
Luconek_PlateArmor_Helm_I	Demenissian Guard's Plate Helm
Luconek_PlateArmor_Helm_II	Inquisitor's Plate Helm
Ludus_PlateArmor_Armor	Ludus Plate Armor
Ludvic_Leather_Armor	Hungering Fang Leather Armor
Ludvic_Leather_Armor_II	Lonely Jackals' Leather Armor
Ludvic_Leather_Boots	Hungering Fang Leather Boots
Ludvic_Leather_Boots_T4_QA	Ludvic Leather Boots T4 QA
Ludvic_Leather_Cloak	Hungering Fang Leather Cloak
Ludvic_Leather_Gloves	Hungering Fang Leather Gloves
Ludvic_Leather_Gloves_II	Jackals' Leather Gloves
Ludvic_Necklace	Crossroads Necklace
Ludvic_OneArmed_Leather_Armor	One-Armed Jackals' Leather Armor
Ludvic_OneArmed_Leather_Cloak	One-Armed Jackal's Leather Cloak
Ludvig_OneHandSword	Red Rage
Ludynn_Fabric_Gloves	Ludynn Cloth Gloves
Ludynn_Fabric_Helm	Ludynn Cloth Cap
Ludynn_Leather_Armor	Ludynn Leather Armor
Ludynn_Leather_Boots	Ludynn Leather Greaves
Lueh_Fabric_Armor	Luwea Cloth Armor
Luekushi_Fabric_Helm	Ruckshi Cloth Cap
Luka_Leather_Gloves	Luca Leather Gloves
Luka_PlateArmor_Armor	Luca Plate Armor
Lukas_Leather_Gloves	Lukas' Leather Gloves
Lukatz_PlateArmor_Armor	Lukatz Plate Armor
Lukin_Leather_Armor	Lukin Leather Armor
Luknaon_ChainMail_Armor	Lucnaon Chain Mail
Luknian_ChainMail_Armor	Lucnian Chain Mail
Luknian_PlateArmor_Helm	Canta Plate Helm
Lukran_PlateArmor_Helm	Laccarsa Plate Helm
Luksa_ChainMail_Armor	Leuksah Chain Mail
Lunosier_Fabric_Armor	Pailunese Attire
Lunosier_Fabric_Cloak	Pailunese Cloak
Lunpherd_Leather_Armor	Lunpherd Leather Armor
Lunther_PlateArmor_Gloves	Luthor Plate Gloves
Luon_PlateArmor_Armor	Luon Plate Armor
Luon_PlateArmor_Cloak	Luon Plate Cloak
Luon_PlateArmor_Gloves	Luon Plate Gloves
Luon_PlateArmor_Helm	Luon Plate Helm
Luon_Plate_Boots	Luon Plate Boots
Luon_TwoHandAlebard	Golden Vanguard
Lusek_Giant_TwoHandGiantBastard	Lusec Greatsword
Lutia_Leather_Boots	Lutia Leather Boots
Lutinas_Leather_Helm	Lutinas Leather Helm
Lutis_Leather_Boots	Pailunese Boots
Lutis_PlateArmor_Gloves	Pailunese Gloves
Lutzen_Leather_Armor	Lutzen Leather Armor
Luverne_Leather_Armor	Luverne Leather Armor
Luwaiet_PlateArmor_Armor	Ruwaite Plate Armor
Luwaiet_PlateArmor_Armor_I	Demeniss Guard's Plate Armor
Luwaiet_PlateArmor_Armor_II	Demeniss Guard's Plate Armor
Luwaiet_PlateArmor_Armor_III	Demeniss Guard's Plate Armor
Lyfellen_ChainMail_Armor	Northern Fighter's Chain Mail
Lyfellen_ChainMail_Cloak	Northern Fighter's Chain Cloak
Lyfellen_Leather_Gloves	Northern Fighter's Leather Gloves
Lyfellen_OneHandMace	Frozen Soul
Lyfellen_PlateArmor_Helm	Lyfellen Plate Helm
Lyfellen_TwoHandAxe	Incomplete Masterpiece
Mache_Leather_Gloves	Mache Leather Gloves
Machnan_Fabric_Armor	Maknan Cloth Armor
Machnynn_Fabric_Armor	Marknin Cloth Armor
Machrah_Fabric_Armor	Marka Cloth Armor
Machrahahn_Fabric_Armor	Makran Cloth Armor
Madacus_PlateArmor_Helm	Bedure Plate Helm
Maeve_Leather_Gloves	Maeve Leather Gloves
Maeve_OneHandAxe	Maeve Axe
Maeve_OneHandMace	Marching Baton
MagicBullet	Magic Bullet
MagicBullet_DarkBall	Dark Magic Bullet
MagicBullet_Dark_IceSpear	Dark Ice Spear Magic Bullet
MagicBullet_Electric	Lightning Magic Bullet
MagicBullet_Fire	Fire Magic Bullet
MagicBullet_Ice	Ice Magic Bullet
MagicBullet_LightFist	Light Fist Magic Bullet
MagicBullet_Snow	Snow Magic Bullet
MagicBullet_Water	Water Magic Bullet
Magnet_OneHandSword	Red Needle
Maint_PlateArmor_Helm	Demeniss Ceremonial Plate Helm
Maint_PlateArmor_Helm_I	Mentz Plate Helm
Makan_PlateArmor_Armor	Ferman Plate Armor
Makan_PlateArmor_Cloak	Ferman Plate Cloak
Makutan_PlateArmor_Helm	Ator's Will Helm
Makutan_PlateArmor_Helm_II	Troll Maccutan Plate Helm
Manios_PlateArmor_Armor	Manios Plate Armor
Mant_PlateArmor_Armor	Mant Plate Armor
Marathion_Leather_Boots	Marrada Leather Boots
Marcree_Fabric_Armor	Makri Cloth Armor
Marcs_PlateArmor_Armor	Malacs Plate Armor
Marctah_Fabric_Armor	Magta Cloth Armor
Maredid_Leather_Boots	Maldrick Leather Boots
Marigold	Marigold
Mark_Fabric_Helm	Marc Cloth Headband
Mark_Leather_Armor	Marc Leather Armor
Mark_PlateArmor_Armor	Marc Plate Armor
Markman_PlateArmor_Armor	Markman Plate Armor
Markna_Leather_Gloves	Markna Leather Gloves
Markris_Plate_Boots	Marcris Plate Boots
MarniDragon_DemenissLetter	Caliburn's Orders
MarniDragon_GoldenStar	Golden Star Blueprint
MarniDragon_MarniRen	Careful Observation of H.A.L.L.
MarniDragon_Visione	The Features of the Visione
MarniMachineDrill	Marni Drill Component
MarniMachineLaser	Marni Laser Component
MarniTower_Key	Spire of Clockwork Key
Marni_ChainMail_Boots	Marni's Chain Boots
Marni_ChainMail_Gloves	Marni's Chain Gloves
Marni_Devotee_PlateArmor_Helm	Visione
Marni_Devotee_PlateArmor_Helm_I	Bespoke Visione
Marni_Devotee_PlateArmor_Helm_II	Guard Visione
Marni_Devotee_PlateArmor_Helm_III	Military Visione
Marni_Devotee_PlateArmor_Helm_IV	Prototype Visione
Marni_Fabric_Armor	Marni's Cloth Armor
Marni_HorseArmor_Armor	Exclaire Barding
Marni_HorseArmor_Helm	Wells Military Champron
Marni_HorseArmor_Stirrup	Marni Stirrups
Marni_Laser_Helm	Marni Laser Helm
Marni_Laser_Helm_Upgrade	Kuku Marni Laser Helm
Marni_MachineFish_Report	Sighting of the Clockwork Fish
Marni_MachineKnight_TwoHandSpear	Electro-Mecha Spear
Marni_MachineKnight_TwoHandSword	Electro-Mecha Longsword
Marni_Special_CannonBall	Disruptor Cannonball
Marozzo_OneHandRapier	Elemore Rapier
Marqueeluon_Fabric_Armor	Maquealon Cloth Armor
Marthana_Leather_Armor	Matana Leather Armor
MartialArts_Secret_Manual	Secret Book of Unknown Source
Martin_Leather_Boots	Martin's Leather Boots
Martindue_Fabric_Armor	Marindo Cloth Armor
Martins_Leather_Boots	Matrinne Leather Boots
Mask_Liberator_TwoHandedWarHammer	Oblivion of the Past
MastKey_Gloves	MastKey Gloves
MasterDoo_Scroll	Master Du's Message
Master_Key	Master Key
Masty_PlateArmor_Gloves	Masti Plate Gloves
Mataka_Leather_Boots	Matahka Leather Boots
Matar_Leather_Boots	Matar Leather Boots
Matarion_PlateArmor_Helm	Matarion Plate Helm
Matazu_Leather_Gloves	Martail Leather Gloves
Matia_Leather_Boots	Matia Leather Boots
Matiras_PlateArmor_Helm	Rhinoceros Plate Helm
Matiras_PlateArmor_Helm_I	Beaked Plate Helm
Matis_Leather_Boots	Matis Leather Greaves
Matraon_Fabric_Armor	Metron Cloth Armor
Mats_Leather_Gloves	Maters Leather Gloves
Matthias_Leather_Gloves	Matthias' Leather Gloves
Maturah_PlateArmor_Helm	Matarra Plate Helm
Mauryth_Fabric_Armor	Mauryth Cloth Armor
Mautey_PlateArmor_Helm	Mottie Plate Helm
Mautey_PlateArmor_Helm_I	Blacksteel Mottie Plate Helm
Mawin_Leather_Armor	Mavin Leather Armor
Maydocs_Leather_Armor_I	Maydocs Leather Armor
Maydocs_PlateArmor_Helm	Maydocs Plate Helm
Mayon_PlateArmor_Armor	Mahon Plate Armor
Meadows_Leather_Boots	Meadows Leather Boots
Meat_BackPack	Hunter's Meat Pack
Meat_Fish_Fruit_Sanjeok	Assorted Meat and Fish Skewers
Meat_Fish_Fruit_Sanjeok_Large	Satisfying Assorted Meat and Fish Skewers
